"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"88","Elijah Moore","WR","CLE","4.9","3.5","4.9","5.5","1.1","0","0","0","BYE","-","1.7","12","1.7","6","5.4","1.5","1.8","1.1","3.2","51.1"
"89","Jamal Agnew","WR","JAC","1.2","0.1","1.7","17","0.3","2.4","-","-","0","0.4","BYE","9.7","4.3","4.4","6.4","0.8","-0.2","0.8","3.3","49.3"
"90","Trenton Irwin","WR","CIN","-","-","-","-","-","-","-","2.7","2.5","BYE","10.2","1.6","1.2","11.8","0.5","16.5","-","1.2","5.4","48.2"
"91","Randall Cobb","WR","NYJ","1.4","3.7","5.7","4.2","9.9","0.8","-","-","-","BYE","7.3","7.9","0","-","3.2","0.5","2","1.1","3.7","47.7"
"92","Jauan Jennings","WR","SF","6.2","0.4","0.5","2.2","4.5","1.8","2.4","-","BYE","4","0","10.9","3.4","0.5","3.1","2.1","4.6","1","3","47.6"
"93","Rondale Moore","WR","ARI","-","-","-","0.7","6.1","4.9","3.1","16.4","6.9","9.4","-0.6","-","BYE","-","-","-","-","-","5.9","46.9"
"94","Julio Jones","WR","FA","8.6","-","-","0.7","-","-","-","8.1","2.8","11.3","-","5.5","2.8","3.8","-","0.5","2.3","-","4.6","46.4"
"95","Dante Pettis","WR","CHI","11.1","0","0","0","0","14.4","3.1","1.8","1.2","1.7","0","1.2","1.4","BYE","1.3","7.1","0","1.9","2.7","46.2"
"96","Laviska Shenault Jr.","WR","CAR","-","-","15","0","-","-","0.8","2.6","0.6","11.9","0.7","2.1","BYE","3.8","0","5.3","2","0.9","3.5","45.7"
"97","Ben Skowronek","WR","LAR","2.5","1.6","6.6","3.3","4.1","11.7","BYE","1","0","1.4","0.4","0.5","3","8.9","0.3","-","-","-","3.2","45.3"
"98","Tutu Atwell","WR","LAR","0","-","0","-","5.4","0.9","BYE","-","-","-","12.2","2.3","7.1","4.5","0.6","1.4","1","9.8","3.8","45.2"
"99","Tyquan Thornton","WR","NE","-","-","-","-","0.7","17.3","1.9","1.3","0.5","BYE","0.5","-","3.1","2.8","2.1","0.8","12","1.3","3.7","44.3"
"100","Nelson Agholor","WR","BAL","0.8","17","2.1","4.6","0","-","0","0.2","-","BYE","1.8","12.5","1.7","3.2","0.3","0","0","0","2.9","44.2"
"101","Ray-Ray McCloud III","WR","SF","2","1.6","1.1","0.6","0","0","12.5","1.1","BYE","3.3","0","1.2","0","1.8","1.6","13.1","4.2","0","2.6","44.1"
"102","Equanimeous St. Brown","WR","CHI","7.8","3.9","6.3","0.9","2.4","0.1","4.8","0.6","0","0.9","2.4","0.7","8.6","BYE","2","-","2","0.3","2.7","43.7"
"103","Justin Watson","WR","KC","0","11","0","0","1","0","6.4","BYE","3.7","1.2","6.7","2.6","1.5","0","0","0","2.7","6.7","2.6","43.5"
"104","Hunter Renfrow","WR","LV","2.1","3.9","-","-","2.5","BYE","5.5","0.6","2.6","-","-","-","-","-","1.4","10.2","1.9","12.3","4.3","43"
"105","Kadarius Toney","WR","KC","2.3","0","-","-","-","-","-","BYE","1.2","15","0","-","-","-","0.5","6.8","5.1","10.4","4.6","41.3"
"106","Braxton Berrios","WR","MIA","3.7","2.2","-0.2","4.7","7.4","8.6","4.2","0","0.6","-","0","1.3","0.9","2.5","1.4","0","2.4","0","2.3","39.7"
"107","Shi Smith","WR","FA","1.2","0.2","2.2","0","6.9","0","0","0","2","1.7","0.6","0","-","7.7","2.4","1.7","13","0","2.3","39.6"
