"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"34","Isiah Pacheco","RB","KC","12.2","0.6","0.9","6.3","0","1.8","4.3","BYE","0.9","6.2","10.7","14.6","14.2","9.3","7.7","9","10.9","12.4","7.2","122"
"35","Antonio Gibson","RB","WAS","13","10.1","10","6.3","3.9","5.3","13.7","13.7","4.7","11.8","10.3","5.4","5.9","BYE","2.7","3.1","-","-","8","119.9"
"36","Jonathan Taylor","RB","IND","23.5","6.3","9.1","2.3","-","-","8.5","5.6","-","22.3","13.4","15.8","10.3","BYE","1.3","-","-","0","9.9","118.4"
"37","Khalil Herbert","RB","CHI","10.3","4.1","28.9","10.1","1.1","7.4","14.7","15.9","2.3","5.7","-","-","-","BYE","-","0.3","3.1","4.9","8.4","108.8"
"38","Samaje Perine","RB","DEN","3.7","1","12.1","0","5.6","1.6","0.8","1.7","5.4","-","26.2","15.3","15.5","8.4","2.4","2.2","-","2.2","6.5","104.1"
"39","Brian Robinson Jr.","RB","WAS","-","-","-","-","2.2","12","8.6","2","3.8","14.6","5.7","18.5","11.1","BYE","10.7","5.8","8.7","-","8.6","103.7"
"40","Breece Hall","RB","NYJ","4.1","12","9.2","13.8","25.7","18.1","13.2","-","-","BYE","-","-","-","-","-","-","-","-","13.7","96.1"
"41","Kareem Hunt","RB","FA","19","7.4","6.1","6.8","11.7","1.2","6.8","7.2","-","1.9","5.4","2.1","7.4","1.2","2.7","2.2","-0.1","2.8","5.4","91.8"
"42","Rachaad White","RB","TB","2.1","0.1","0","9.6","4.2","2.3","3.2","4.3","3.4","10.5","BYE","10.9","10.9","5.7","4.3","11.3","4.8","1.5","5.2","89.1"
"43","Kenyan Drake","RB","FA","4.6","0.8","-","-","2.7","18.7","0.5","12.7","22.9","-","5.3","0.2","4.6","0.2","-","-","-","13.9","7.3","87.1"
"44","James Cook","RB","BUF","-1.8","5.3","4","0","9.1","0.8","BYE","7.6","3.3","2.2","8.6","1.8","10.5","1.5","9.9","16.8","1.8","5.1","5.1","86.5"
"45","Michael Carter","RB","NYJ","10","5","4.6","2.9","15.3","4.7","7.4","6.1","14.6","BYE","1.7","3.6","-","0","3.1","5","0.5","0.5","5.3","85"
"46","Clyde Edwards-Helaire","RB","KC","19.4","11.8","9.9","21.4","3.5","3.3","9.2","BYE","1.9","0","0.9","-","-","-","-","-","-","-","8.1","81.3"
"47","James Robinson","RB","FA","18.9","13.8","17.6","2.9","3.9","5.5","0","1.7","11.3","-","1","-","1","-","-","-","-","-","7.1","77.6"
"48","J.K. Dobbins","RB","BAL","-","-","4","18.3","4.4","1.5","-","-","-","BYE","-","-","-","18","12.8","5.9","9.3","-","9.3","74.2"
"49","Damien Harris","RB","BUF","5.8","14.7","10.6","14.4","1.2","-","1","5.2","-","-","9.3","1.6","-","-","-","-","4.9","5.2","6.7","73.9"
"50","Chuba Hubbard","RB","CAR","0.3","-2","2.5","0","-","0.7","13.3","-","-","1.4","2.5","6.5","BYE","15.9","6.7","12.5","6.5","6.9","5.3","73.7"
"51","Alexander Mattison","RB","MIN","3.6","1.4","10.4","7.8","4","0.3","BYE","10","0.1","1.9","0.8","1.1","7.8","-0.1","0.1","1.7","4.5","18","4.3","73.4"
"52","Jaylen Warren","RB","PIT","0.7","1.5","3.3","2.2","6.3","0.2","2.4","7.5","BYE","7.7","0.9","-","1.9","2.7","10.9","3","9.8","4.3","4.1","65.3"
"53","Kenneth Gainwell","RB","PHI","9.2","1.8","0.6","7.7","2","2.5","BYE","1.1","9.8","1.2","0","10.6","5.3","0","1.4","5.8","1.7","4.2","3.8","64.9"
"54","Eno Benjamin","RB","NO","6.1","5.1","2.3","4.5","11.3","6.5","19.3","4.5","2.7","0","-","-","-","0.1","-","-","1.9","0.3","5","64.6"
"55","Melvin Gordon III","RB","BAL","5.2","5.3","11.5","-1.2","10.3","0.8","5","11.2","-","7","7","-","-","-","-","-","-","-","6.2","62.1"
"56","Gus Edwards","RB","BAL","-","-","-","-","-","-","18.6","6.5","-","BYE","-","9.2","1.2","6.6","5.5","9.9","0.2","1.6","6.6","59.3"
"57","Chase Edmonds","RB","TB","6.5","4.1","14.7","8","0.1","3.1","1.7","1.4","-","0.9","0.6","-","-","-","-","5.3","7.3","4.5","4.5","58.2"
"58","Darrell Henderson Jr.","RB","FA","7.3","10.7","1.7","3.9","3","11.2","-","3","5.6","9.2","0.9","-","-","-","-","-","-","-","5.7","56.5"
"59","Dontrell Hilliard","RB","FA","18.9","-","4.4","1.8","8.3","-","0.4","9.5","0.8","0.8","7.8","1.9","1.6","0","-","-","-","-","4.7","56.2"
"60","Deon Jackson","RB","IND","-","-0.3","-","-","9.1","18.1","0.3","-0.4","3.6","-","1","-","0.6","BYE","9.6","0.9","1","11","4.5","54.5"
"61","Zack Moss","RB","IND","1.6","1.7","5.2","0.6","0.7","-","-","-","-","0.4","0.7","0.2","1.8","BYE","8.1","7","7.4","18.1","4.1","53.5"
"62","Nyheim Hines","RB","BUF","5.4","3.7","3","0.3","0.8","-","4.3","10.9","0","0.9","-0.8","0.3","1.8","0.7","7","1.1","-","12","3.2","51.4"
"63","Joshua Kelley","RB","LAC","3.5","2.5","0.3","1.5","14.2","-","-","BYE","-","-","-","2","3","3.5","9.1","4.2","4.6","2.4","4.2","50.8"
"64","JaMycal Hasty","RB","JAC","-","-","0","2.2","0.6","11.2","0.6","1","1.1","0.3","BYE","15.5","-","1.3","1.5","2.1","11.6","0.5","3.5","49.5"
"65","Rashaad Penny","RB","PHI","6.7","1.5","6.9","27.7","5.4","-","BYE","-","-","-","-","-","-","-","-","-","-","-","9.6","48.2"
"66","Zonovan Knight","RB","DET","-","-","-","-","-","BYE","-","-","-","-","-","10.3","11.8","13.7","2.3","1.3","4.4","2.2","6.6","46"
"67","Caleb Huntley","RB","FA","-","0.3","-","11.6","3.4","5.9","2.2","9.1","3.4","3.2","0.6","1.3","1.7","-","0.2","-","-","-","3.6","42.9"
"68","Boston Scott","RB","PHI","7","2.1","0","-","-","1.6","BYE","2.1","0.5","0.5","1.2","2.4","2.1","9.7","0","0","0.6","11.4","2.7","41.2"
"69","Elijah Mitchell","RB","SF","4.1","-","-","-","-","-","-","-","BYE","8.8","5.9","4.3","-","-","-","-","-","17.5","8.1","40.6"
"70","Matt Breida","RB","NYG","2.4","-0.4","0.3","1.8","2.7","1.1","3.3","1.5","BYE","2","8.9","1.5","0.4","1.5","1.2","0.9","6.7","4","2.3","39.8"
"71","Justin Jackson","RB","FA","-","0","0","6.7","1.4","-","0.2","0","2.7","2.8","7.7","1.9","2.3","9.1","3.1","-0.1","-","1.3","2.6","39.1"
"72","Kyle Juszczyk","RB","SF","0","6.1","2.4","4.4","2.7","3.3","3.4","-","BYE","-","0.4","0.2","7.2","0.7","-","-","0.9","2.9","2.7","34.6"
"73","Rex Burkhead","RB","FA","7","0.9","3","9.9","2.8","-","1.9","0.2","1.5","3","-","0.5","-","0.2","1.7","0.7","1","0.1","2.3","34.4"
"74","Mark Ingram II","RB","FA","0.3","4.1","7.8","4.3","3.6","5.7","2.2","0.2","-","-","-","1","4.9","-","-","-","-","-","3.4","34.1"
"75","Raheem Blackshear","RB","CAR","-","-","-","-","0","0","-0.5","0.1","11.3","3.2","1.4","-0.9","BYE","10.9","0","7.5","-0.1","0.1","2.5","33"
"76","Jordan Mason","RB","SF","0","0","0.7","-","0","-","-","-","BYE","-","1.4","2.5","5.1","5.6","6.4","0","7.3","2.8","2.7","31.8"
"77","Ty Johnson","RB","BUF","-","0.4","-","0","0","-","0.9","0.6","1.7","-","0.4","13.8","4.1","-","-","0.7","5.7","2.5","2.6","30.8"
"78","Marlon Mack","RB","ARI","-","0","-","0","-","-","-","-","-","-","-","1.2","0.9","13.7","12.3","2.2","0","-","3.8","30.3"
"79","DeeJay Dallas","RB","SEA","0","-1","3.8","0","1","0.1","4.1","0","0.4","0","BYE","1.5","3.7","-","-","4.2","9.8","2.6","2","30.2"
"80","Justice Hill","RB","BAL","1.1","1.6","6","5.7","-","-","0.6","2.8","1.9","BYE","3.8","0.3","0.6","0","1.8","0.4","0","3.4","2","30"
"81","Ameer Abdullah","RB","LV","0","2.3","0","0","0","BYE","0.7","2.8","0.8","3.3","0.5","11.5","0.4","1.7","1.4","2.7","-","1","1.8","29.1"
"82","J.D. McKissic","RB","FA","4.8","6.3","4","5.6","3.7","2","0.4","2","-","-","-","-","-","-","0","-","-","-","3.2","28.8"
"83","Dare Ogunbowale","RB","HOU","-","0","-","0","0","BYE","6.2","0","0","1.3","0.5","8","2.1","0.1","1.4","2.8","2.5","3.8","1.9","28.7"
"84","Malik Davis","RB","DAL","-","-","-","-","-","-","-","4.1","BYE","3.8","3.5","-","8.9","-","-","-","6.2","1.9","4.7","28.4"
"85","Travis Homer","RB","CHI","0.2","4.2","0.7","0","-","0","-","3.1","3.2","0","-","11.3","-","3.4","1","0","-","-","2.3","27.1"
"86","Javonte Williams","RB","DEN","8.8","8.5","6","2.7","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","6.5","26"
"87","Gary Brightwell","RB","NYG","0","1.4","-","0","6.5","0","-","0","BYE","0","0","4.9","0","4.1","0","-0.1","0.9","6.3","1.6","24"
"88","Alec Ingold","RB","MIA","1","1.6","0","-","-","1.2","-","6.6","-","10.5","BYE","0","1.5","0","0.9","0","0","-","1.9","23.3"
"89","Craig Reynolds","RB","DET","-","2.9","1.8","4.2","9.2","BYE","3","0.7","0","-","-","-","-","-","-","-","-","-","3.1","21.8"
"90","Kyren Williams","RB","LAR","-","-","-","-","-","-","BYE","-","-","3.9","4.4","6","0.9","2.9","0.7","2.1","0.6","-","2.7","21.5"
"91","C.J. Ham","RB","MIN","0.6","-","1.5","0","-","0.3","BYE","0","-","6.3","-","-","0","0.9","6.5","0.5","-","4.7","1.9","21.3"
"92","Pierre Strong Jr.","RB","CLE","-","0","-","-","-","0.5","-","0","0","-","0","0","-","15","3.7","1","0","-","2","20.2"
"93","Mike Boone","RB","HOU","0.2","-","0","2.9","8.5","0.4","2.3","-","-","-","-","-","2.6","2.9","-","-","-","-","2.5","19.8"
"94","Avery Williams","RB","ATL","-","0.6","0.9","2.1","8.1","0.8","0.4","0.7","0.2","2.5","-2","0","0","BYE","1","3","0","1.2","1.2","19.5"
"95","Jonathan Williams","RB","FA","0","-","0.6","4.8","0","-","-","-","-","-","-","2.2","0.1","-","-","4.1","3.3","4.1","2.1","19.2"
"96","Tevin Coleman","RB","FA","-","-","-","-","18.7","0.3","-","-","-","-","-","-","-","-","0","-","-","-","6.3","19"
"97","Brandon Bolden","RB","LV","8.8","-","2.1","-0.1","3.4","BYE","0","-","1","-","0.4","-","-","0","0","0","3.2","0","1.6","18.8"
"98","Malcolm Brown","RB","FA","-","-","-","-","-","2.8","-","1","1.9","-","-","-","-","1.7","0","2.1","8.3","-","2.5","17.8"
"99","Darrel Williams","RB","FA","-","12.2","0.7","1.9","0.9","-","-","1.4","-","-","-","-","-","-","-","-","-","-","3.4","17.1"
"100","Corey Clement","RB","ARI","-","-","-","-","-","-","-","-","-","-","0","0.8","BYE","2.1","-","-","3.2","10.8","3.4","16.9"
"101","Benny Snell Jr.","RB","FA","0","-","-","0","-","-","0","-","-","0","-","12.8","3.5","0.4","-","0","-","0","1.9","16.7"
"102","Sony Michel","RB","FA","1.2","1.9","3.1","2.7","0","4.2","1.3","-","1.2","0.2","0.1","-","-","-","-","-","-","-","1.6","15.9"
"103","Derek Watt","RB","FA","-","0.2","-","-","0.1","0","0","6.6","-","0.5","-","0.5","0.7","-","0.2","0","0.3","6.1","1.3","15.2"
"103","Ronald Jones II","RB","DAL","-","-","-","-","-","-","-","-","BYE","-","-","3.4","-","-","0.6","0.4","0.3","10.5","3","15.2"
